patient_id,admission_date,species,common_name,found_city,found_county,status,final_date
2022-0925,7/31/22,DEJU,Dark Eyed Junco,Linville,Avery,E,8/4/22
2022-0926,7/31/22,SWTH,Swainson's thrush,Newland,Avery,D24,8/1/22
2022-0927,8/1/22,SCCA,Eastern gray squirrel,Sherrils Ford,NA,E24,8/1/22
2022-0928,8/1/22,AMRO,American robin,Boone,Watauga,R,8/18/22
2022-0929,8/2/22,MODO,Mourning dove,Lenoir,Caldwell,E,8/18/22
2022-0930,8/2/22,TECA,Eastern box turtle,Drexel,NA,R,9/23/22
2022-0931,8/2/22,ODVI,White-tailed deer,,NA,T,8/3/22
2022-0932,8/3/22,NOCA,Northern cardinal,,NA,D,8/4/22
2022-0933,8/3/22,PELE,White-footed mouse,Elk Park,Avery,EOA,8/3/22
2022-0934,8/3/22,TAST,Eastern chipmunk,,NA,D,8/6/22
2022-0935,8/3/22,EASO,Eastern screech owl,Hays,Wilkes,R,9/13/22
2022-0936,8/4/22,NOMO,Northern mockingbird,Hickory,Catawba,R,9/9/22
2022-0937,8/4/22,GCKI,Golden-crowned kinglet,Banner Elk,Avery,D,9/7/22
2022-0938,8/4/22,RODO,Rock dove,Valdese,NA,D24,8/5/22
2022-0939,8/5/22,TECA,Eastern box turtle,Purlear,Wilkes,D,8/20/22
2022-0940,8/5/22,PIWA,Pine Warbler,Boone,Watauga,D24,8/5/22
2022-0941,8/5/22,SOSP,Song sparrow,Asheville,Buncombe,E,8/29/22
2022-0942,8/6/22,RTHU,Ruby-throated hummingbird,Boone,Watauga,D24,8/7/22
2022-0943,8/6/22,RTHU,Ruby-throated hummingbird,Claremont,Catawba,D,9/27/22
2022-0944,8/8/22,SCCA,Eastern gray squirrel,Lenior,NA,E24,8/8/22
2022-0945,8/8/22,CAGO,Canada goose,,NA,R,8/25/22
2022-0946,8/8/22,PELE,White-footed mouse,Blowing Rock,Watauga,R,8/11/22
2022-0947,8/8/22,COHA,Cooper's Hawk,West Jefferson,Ashe,R,8/26/22
2022-0948,8/8/22,EASO,Eastern screech owl,Sparta,Alleghany,R,9/19/22
2022-0949,8/9/22,SCJU,Slate Colored Junco,seven devils,Avery,R,8/9/22
2022-0950,8/9/22,SCCA,Eastern gray squirrel,Jefferson,Ashe,D24,8/10/22
2022-0951,8/9/22,HOSP,House sparrow,Elkin,Surry,R,9/1/22
2022-0952,8/9/22,HOSP,House sparrow,Elkin,Surry,R,9/1/22
2022-0953,8/9/22,ELOB,Rat snake,,NA,D24,8/10/22
2022-0954,8/9/22,DIVI,Virginia opossum,Sparta,Alleghany,D,8/13/22
2022-0955,8/10/22,MALL,Mallard,Weaverville,Buncombe,E,8/15/22
2022-0956,8/11/22,CLSW,Cliff Swallow,,Buncombe,T,10/14/22
2022-0957,8/11/22,EABL,Eastern bluebird,,NA,R,9/15/22
2022-0958,8/11/22,EABL,Eastern bluebird,,NA,R,9/15/22
2022-0959,8/11/22,EABL,Eastern bluebird,,NA,R,9/15/22
2022-0960,8/11/22,EABL,Eastern bluebird,,NA,R,9/15/22
2022-0961,8/11/22,ODVI,White-tailed deer,Newland,Avery,D24,8/12/22
2022-0962,8/11/22,SCCA,Eastern gray squirrel,Lenoir,Caldwell,E,9/28/22
2022-0963,8/12/22,SYFL,Eastern cottontail,Banner Elk,Avery,E,9/14/22
2022-0964,8/12/22,SYFL,Eastern cottontail,Beech Mountain,NA,R,8/27/22
2022-0965,8/13/22,RODO,Rock dove,,NA,DOA,8/13/22
2022-0966,8/14/22,SCCA,Eastern gray squirrel,Banner Elk,Avery,R,10/6/22
2022-0967,8/14/22,DIVI,Virginia opossum,Boone,Watauga,R,9/12/22
2022-0968,8/14/22,DIVI,Virginia opossum,,NA,DOA,8/14/22
2022-0969,8/14/22,AMGO,American goldfinch,Boone,Watauga,R,8/31/22
2022-0970,8/15/22,SYFL,Eastern cottontail,Boone,Watauga,D24,8/15/22
2022-0971,8/15/22,SYFL,Eastern cottontail,Wilksboro,NA,D24,8/16/22
2022-0972,8/16/22,GLVO,Southern flying squirrel,Morganton,Burke,PR,0000-00-00
2022-0973,8/16/22,MUDU,Muscovy duck,Banner Elk,Avery,R,8/26/22
2022-0974,8/16/22,MUMU,House mouse,Banner Elk,Avery,DOA,8/16/22
2022-0975,8/16/22,MUMU,House mouse,Banner Elk,Avery,R,8/27/22
2022-0976,8/16/22,HOFI,House finch,Spruce Pine,Mitchell,DOA,8/16/22
2022-0977,8/17/22,EABL,Eastern bluebird,,NA,EOA,8/17/22
2022-0978,8/17/22,RTHA,Red-tailed hawk,Hudson,Caldwell,R,12/29/22
2022-0979,8/18/22,OVEN,Ovenbird,Boone,Watauga,D24,8/18/22
2022-0980,8/18/22,HOSP,House sparrow,,NA,D24,8/18/22
2022-0981,8/18/22,AMGO,American goldfinch,,NA,R,9/21/22
2022-0982,8/18/22,AMGO,American goldfinch,,NA,R,9/21/22
2022-0983,8/18/22,AMGO,American goldfinch,,NA,R,9/21/22
2022-0984,8/18/22,AMGO,American goldfinch,,NA,R,9/21/22
2022-0985,8/18/22,AMGO,American goldfinch,,NA,R,9/21/22
2022-0986,8/18/22,MAMO,Groundhog,Blowing Rock,Watauga,D24,8/18/22
2022-0987,8/19/22,COHA,Cooper's Hawk,Sapphire,Transylvania,D,8/21/22
2022-0988,8/19/22,COHA,Cooper's Hawk,,NA,D24,8/20/22
2022-0989,8/19/22,DIVI,Virginia opossum,Waynesville,Haywood,E24,8/19/22
2022-0990,8/19/22,TECA,Eastern box turtle,Bakersville,Mitchell,Reh,0000-00-00
2022-0991,8/19/22,RTHU,Ruby-throated hummingbird,Asheville,Buncombe,D24,8/20/22
2022-0992,8/20/22,HOFI,House finch,Elk Park,Avery,D24,8/20/22
2022-0993,8/20/22,SYFL,Eastern cottontail,Boone,Watauga,R,8/24/22
2022-0994,8/20/22,RTHA,Red-tailed hawk,Jefferson,Ashe,R,9/16/22
2022-0995,8/21/22,HOSP,House sparrow,Winston Salem,Forsyth,R,10/25/22
2022-0996,8/21/22,EWPW,Eastern Whip-poor-will,Taylorsville,Alexander,E24,8/22/22
2022-0997,8/22/22,PRIO,Raccoon,Banner Elk,Avery,E24,8/22/22
2022-0998,8/22/22,DIPU,Ringneck snake,Spruce Pine,Mitchell,D24,8/22/22
2022-0999,8/22/22,MODO,Mourning dove,Rocky Point,Pender,D,8/23/22
2022-1000,8/22/22,HOFI,House finch,Banner Elk,Avery,D24,8/23/22
2022-1001,8/22/22,NOCA,Northern cardinal,Nebo,McDowell,D24,8/23/22
2022-1002,8/23/22,RTHA,Red-tailed hawk,Bakersville,Mitchell,R,10/6/22
2022-1003,8/23/22,ODVI,White-tailed deer,Boone,Watauga,DOA,8/23/22
2022-1004,8/24/22,NOCA,Northern cardinal,Banner Elk,Avery,R,9/14/22
2022-1005,8/24/22,MODO,Mourning dove,Newland,Avery,DOA,8/24/22
2022-1006,8/24/22,MODO,Mourning dove,Boone,Watauga,D,8/25/22
2022-1007,8/25/22,SCCA,Eastern gray squirrel,Hickory,Catawba,D,8/26/22
2022-1008,8/25/22,DIVI,Virginia opossum,Zionville,Watauga,R,9/8/22
2022-1009,8/25/22,MODO,Mourning dove,Blowing Rock,Watauga,R,10/13/22
2022-1010,8/25/22,YBCH,Yellow Breasted Chat,Boone,Watauga,D,8/27/22
2022-1011,8/25/22,TECA,Eastern box turtle,Spruce Pine,Mitchell,R,8/26/22
2022-1012,8/26/22,COHA,Cooper's Hawk,Linville,Avery,R,8/26/22
2022-1013,8/26/22,ODVI,White-tailed deer,Green Mountain,Yancey,E24,8/26/22
2022-1014,8/26/22,TAST,Eastern chipmunk,Boone,Watauga,R,9/12/22
2022-1015,8/26/22,SCCA,Eastern gray squirrel,Morganton,Burke,R,10/19/22
2022-1016,8/26/22,HOFI,House finch,Hampton,NA,E,8/27/22
2022-1017,8/27/22,CAWR,Carolina wren,Boone,Watauga,D,8/28/22
2022-1018,8/27/22,ODVI,White-tailed deer,Banner Elk,Avery,E24,8/27/22
2022-1019,8/27/22,TECA,Eastern box turtle,Advance,Davie,E24,8/27/22
2022-1020,8/28/22,TECA,Eastern box turtle,Burnsville,Yancey,D,9/4/22
2022-1021,8/29/22,GLVO,Southern flying squirrel,Banner Elk,Avery,D24,8/29/22
2022-1022,8/29/22,RTHU,Ruby-throated hummingbird,,NA,E,9/20/22
2022-1023,8/29/22,RTHU,Ruby-throated hummingbird,,NA,E24,8/29/22
2022-1024,8/29/22,MODO,Mourning dove,,NA,R,10/13/22
2022-1025,8/29/22,MODO,Mourning dove,,NA,D,1/16/23
2022-1026,8/29/22,NOFL,Northern flicker,Banner Elk,Avery,ESC,10/16/22
2022-1028,8/29/22,DIPU,Ringneck snake,Banner Elk,Avery,DOA,8/29/22
2022-1029,8/29/22,PRIO,Raccoon,Banner Elk,Avery,EOA,8/29/22
2022-1030,8/30/22,MODO,Mourning dove,,NA,D,10/16/22
2022-1031,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/6/22
2022-1032,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/14/22
2022-1033,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/14/22
2022-1034,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/14/22
2022-1035,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/19/22
2022-1036,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/19/22
2022-1037,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/14/22
2022-1038,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/14/22
2022-1039,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/14/22
2022-1040,8/30/22,SCCA,Eastern gray squirrel,,NA,R,10/6/22
2022-1041,8/31/22,RTHU,Ruby-throated hummingbird,Lenoir,Caldwell,R,9/12/22
2022-1042,8/31/22,GLVO,Southern flying squirrel,Newland,NA,R,12/2/22
2022-1043,8/31/22,GLVO,Southern flying squirrel,Newland,NA,R,12/2/22
2022-1044,8/31/22,GLVO,Southern flying squirrel,Newland,NA,D,9/16/22
2022-1045,8/31/22,GLVO,Southern flying squirrel,Newland,NA,R,12/2/22
2022-1046,8/31/22,TAHU,Red squirrel,Banner Elk,Avery,R,10/31/22
2022-1047,8/31/22,TAHU,Red squirrel,Banner Elk,Avery,R,10/31/22
2022-1048,8/31/22,TAHU,Red squirrel,Banner Elk,Avery,R,10/31/22
2022-1049,9/1/22,OVEN,Ovenbird,,NA,D24,9/1/22
2022-1050,9/1/22,CONI,Common nighthawk,Millers Creek,Wilkes,E24,9/2/22
2022-1051,9/2/22,MODO,Mourning dove,Spruce Pine,Mitchell,D24,9/2/22
2022-1052,9/2/22,SCCA,Eastern gray squirrel,Roan Mtn,Mitchell,R,10/6/22
2022-1053,9/3/22,SCCA,Eastern gray squirrel,Deep Gap,Watauga,R,10/14/22
2022-1054,9/3/22,CEWA,Cedar waxwing,Asheville,Buncombe,R,10/14/22
2022-1055,9/3/22,RTHU,Ruby-throated hummingbird,,NA,R,10/14/22
2022-1056,9/3/22,BRTH,Brown thrasher,Advance,Davie,DOA,9/3/22
2022-1057,9/3/22,HOSP,House sparrow,Vilas,Watauga,D,9/9/22
2022-1058,9/3/22,BWWA,Blue-winged Warbler,,NA,D,9/5/22
2022-1059,9/6/22,AMCR,American crow,Marion,McDowell,R,11/26/22
2022-1060,9/6/22,SCCA,Eastern gray squirrel,Lenoir,Caldwell,R,9/12/22
2022-1061,9/6/22,EWPW,Eastern Whip-poor-will,Morganton,Burke,R,9/13/22
2022-1062,9/7/22,RODO,Rock dove,Hickory,Catawba,R,10/13/22
2022-1063,9/7/22,MUMU,House mouse,Roan Mountain,Buncombe,EOA,9/7/22
2022-1064,9/7/22,MUMU,House mouse,Roan Mountain,NA,EOA,9/7/22
2022-1065,9/7/22,MUMU,House mouse,Roan Mountain,NA,EOA,9/7/22
2022-1066,9/7/22,MUMU,House mouse,Roan Mountain,NA,EOA,9/7/22
2022-1067,9/9/22,MODO,Mourning dove,Banner Elk,Avery,R,10/13/22
2022-1068,9/9/22,SCCA,Eastern gray squirrel,West Jefferson,Ashe,R,10/6/22
2022-1069,9/9/22,SCCA,Eastern gray squirrel,,NA,R,10/19/22
2022-1070,9/9/22,SYFL,Eastern cottontail,Roan MT,NA,D24,9/10/22
2022-1071,9/10/22,SCCA,Eastern gray squirrel,Lenoir,Caldwell,D,9/14/22
2022-1072,9/10/22,CAGO,Canada goose,,NA,EOA,9/10/22
2022-1073,9/10/22,DIVI,Virginia opossum,,NA,DOA,9/10/22
2022-1074,9/11/22,GLVO,Southern flying squirrel,Wilkesboro,Wilkes,R,12/2/22
2022-1075,9/11/22,GLVO,Southern flying squirrel,Wilkesboro,Wilkes,R,12/2/22
2022-1076,9/12/22,MODO,Mourning dove,Banner Elk,Avery,E,11/16/22
2022-1077,9/12/22,GHOW,Great horned owl,Piney Creek,Alleghany,DOA,9/12/22
2022-1078,9/12/22,RTHU,Ruby-throated hummingbird,Blowing Rock,Watauga,R,9/15/22
2022-1079,9/12/22,DIPU,Ringneck snake,Newland,Avery,R,9/23/22
2022-1080,9/12/22,SCCA,Eastern gray squirrel,Spruce Pine,Mitchell,R,10/19/22
2022-1081,9/13/22,GHOW,Great horned owl,West Jefferson,Ashe,R,10/12/22
2022-1082,9/14/22,RTHU,Ruby-throated hummingbird,Spruce Pine,Mitchell,D,10/5/22
2022-1083,9/14/22,GLVO,Southern flying squirrel,Lenior,NA,R,12/2/22
2022-1084,9/14/22,HOFI,House finch,Hickory,Catawba,DOA,9/14/22
2022-1085,9/14/22,BRTH,Brown thrasher,Asheville,Buncombe,D24,9/14/22
2022-1086,9/14/22,HOFI,House finch,Asheville,Buncombe,R,10/9/22
2022-1087,9/14/22,MODO,Mourning dove,Asheville,Buncombe,R,10/13/22
2022-1088,9/14/22,TAST,Eastern chipmunk,Blowing Rock,Watauga,D,9/17/22
2022-1089,9/15/22,RTHA,Red-tailed hawk,Whitter,NA,R,9/23/22
2022-1090,9/16/22,GBHE,Great blue heron,Newland,Avery,D,9/21/22
2022-1091,9/17/22,SWTH,Swainson's thrush,Marshall,Madison,DOA,9/17/22
2022-1092,9/17/22,SCCA,Eastern gray squirrel,Deep Gap,Watauga,R,10/19/22
2022-1093,9/18/22,TAST,Eastern chipmunk,Newland,Avery,E,9/23/22
2022-1094,9/19/22,MALL,Mallard,Blowing Rock,Watauga,R,10/5/22
2022-1095,9/20/22,PELE,White-footed mouse,Newland,Avery,R,10/8/22
2022-1096,9/21/22,SCCA,Eastern gray squirrel,Statesville,Iredell,R,10/14/22
2022-1097,9/21/22,TECA,Eastern box turtle,Tamasee,NA,Reh,0000-00-00
2022-1098,9/21/22,RTHU,Ruby-throated hummingbird,Asheville,Buncombe,R,9/28/22
2022-1099,9/21/22,SWTH,Swainson's thrush,Asheville,Buncombe,R,10/7/22
2022-1100,9/21/22,SCCA,Eastern gray squirrel,Hendersonville,Henderson,R,10/19/22
2022-1101,9/21/22,SCCA,Eastern gray squirrel,Hendersonville,Henderson,R,10/19/22
2022-1102,9/22/22,YBSA,Yellow-bellied sapsucker,Banner Elk,Avery,D24,9/23/22
2022-1103,9/22/22,GLVO,Southern flying squirrel,Vilas,Watauga,R,12/2/22
2022-1104,9/19/22,NSWO,Northern saw-whet owl,Enumclaw,Permit # MB3615,PR,0000-00-00
2022-1105,9/23/22,RODO,Rock dove,Asheville,Buncombe,R,10/13/22
2022-1106,9/23/22,MODO,Mourning dove,Rutherforton,NA,E,9/26/22
2022-1107,9/23/22,SWTH,Swainson's thrush,Linville,NA,D24,9/23/22
2022-1108,9/25/22,SWTH,Swainson's thrush,Huntersville,Mecklenburg,R,10/3/22
2022-1109,9/27/22,SCCA,Eastern gray squirrel,Boone,Watauga,D24,9/28/22
2022-1110,9/27/22,RODO,Rock dove,Blowing Rock,Watauga,D,10/6/22
2022-1111,9/27/22,MAMO,Groundhog,Newland,Avery,R,10/22/22
2022-1112,9/27/22,TAST,Eastern chipmunk,Banner Elk,Avery,R,10/11/22
2022-1113,9/28/22,TECA,Eastern box turtle,Morganton,Burke,Reh,0000-00-00
2022-1114,9/28/22,SCCA,Eastern gray squirrel,Morganton,Burke,R,10/19/22
2022-1115,9/28/22,SCCA,Eastern gray squirrel,Morganton,Burke,R,10/19/22
2022-1116,9/28/22,GHOW,Great horned owl,,NA,D,10/1/22
2022-1117,9/28/22,HOFI,House finch,Banner Elk,Avery,R,10/12/22
2022-1118,9/29/22,AMCR,American crow,Valdese,Burke,D,9/30/22
2022-1119,9/29/22,RSHA,Red-shouldered hawk,Seven Devils,NA,E,11/11/22
2022-1120,9/29/22,OVEN,Ovenbird,Boone,Watauga,D24,9/30/22
2022-1121,9/30/22,SWTH,Swainson's thrush,Lenoir,Caldwell,E,12/19/22
2022-1122,10/1/22,NOCA,Northern cardinal,Lenoir,Caldwell,DOA,10/1/22
2022-1123,10/1/22,RTHA,Red-tailed hawk,,Avery,D,10/4/22
2022-1124,10/1/22,SYFL,Eastern cottontail,Banner Elk,Avery,D24,10/2/22
2022-1125,10/3/22,EASO,Eastern screech owl,horseshoe,NA,R,10/28/22
2022-1126,10/3/22,GHOW,Great horned owl,Boone,Watauga,R,11/23/22
2022-1127,10/2/22,TAHU,Red squirrel,Grandfather,NA,R,10/31/22
2022-1128,10/3/22,CMWA,Cape May Warbler,Lenoir,Caldwell,D24,10/4/22
2022-1129,10/3/22,LATR,Eastern milk Snake,Newland,Avery,R,10/11/22
2022-1130,10/3/22,OVEN,Ovenbird,Linville Falls,Burke,R,10/22/22
2022-1131,10/5/22,TAHU,Red squirrel,Banner Elk,Avery,DOA,10/5/22
2022-1132,10/6/22,GLVO,Southern flying squirrel,Bakersville,Mitchell,E,10/8/22
2022-1133,10/6/22,MODO,Mourning dove,Mars Hill,Madison,D,10/16/22
2022-1134,10/7/22,TAST,Eastern chipmunk,Seven Devils,NA,D24,10/7/22
2022-1135,10/9/22,BDOW,Barred owl,Hickory,Catawba,R,11/23/22
2022-1136,10/11/22,RSHA,Red-shouldered hawk,Burnsville,Yancey,E,10/14/22
2022-1137,10/13/22,TAST,Eastern chipmunk,,NA,R,10/17/22
2022-1138,10/11/22,GBHE,Great blue heron,Taylorsville,NA,D24,10/11/22
2022-1139,10/12/22,CAWR,Carolina wren,Newland,Avery,R,10/14/22
2022-1140,10/12/22,SWTH,Swainson's thrush,Banner Elk,Avery,R,11/1/22
2022-1141,10/13/22,GBHE,Great blue heron,Flat Rock,Henderson,E24,10/14/22
2022-1142,10/13/22,BTBW,Black-Throated Blue Warbler,Spruce Pine,Mitchell,R,1/12/23
2022-1143,10/16/22,ODVI,White-tailed deer,Banner Elk,Avery,T,10/16/22
2022-1144,10/16/22,MODO,Mourning dove,,NA,R,11/16/22
2022-1145,10/18/22,CAAL,Sanderling,Banner Elk,Avery,D,11/28/22
2022-1146,10/18/22,TECA,Eastern box turtle,Lenoir,Caldwell,Reh,0000-00-00
2022-1147,10/18/22,EAPH,Eastern phoebe,Boone,Watauga,R,10/20/22
2022-1148,10/18/22,MODO,Mourning dove,Maggie Valley,Haywood,Reh,0000-00-00
2022-1149,10/18/22,RODO,Rock dove,Asheville,Buncombe,R,12/1/22
2022-1150,10/18/22,DIVI,Virginia opossum,Mountain City,NA,D,10/21/22
2022-1151,10/18/22,YBSA,Yellow-bellied sapsucker,Hickory,Catawba,R,12/16/22
2022-1152,10/19/22,RBGR,Rose-breasted grosbeak,Boone,Watauga,R,2/15/23
2022-1153,10/19/22,PELE,White-footed mouse,,NA,D,10/21/22
2022-1154,10/19/22,PELE,White-footed mouse,,NA,D,10/22/22
2022-1155,10/20/22,RBNU,Red-breasted nuthatch,Banner Elk,Avery,R,10/21/22
2022-1156,10/21/22,COHA,Cooper's Hawk,Banner Elk,Avery,R,12/29/22
2022-1157,10/21/22,PELE,White-footed mouse,Bakersville,Mitchell,D24,10/21/22
2022-1158,10/22/22,PELE,White-footed mouse,Banner Elk,Avery,R,10/23/22
2022-1159,10/22/22,PELE,White-footed mouse,Banner Elk,Avery,R,10/23/22
2022-1160,10/23/22,AMRO,American robin,Banner Elk,Avery,D24,10/24/22
2022-1161,10/23/22,CAWR,Carolina wren,Banner Elk,Avery,D,10/27/22
2022-1162,10/23/22,BDOW,Barred owl,Green Mountain,Yancey,D,10/27/22
2022-1163,10/26/22,WITU,Wild turkey,Roan Mt,NA,E24,10/26/22
2022-1164,10/26/22,SOSP,Song sparrow,,NA,D,12/21/22
2022-1165,10/27/22,EASO,Eastern screech owl,Zionville,Watauga,R,11/29/22
2022-1166,10/27/22,EASO,Eastern screech owl,Wilkesboro,Wilkes,R,11/28/22
2022-1167,10/28/22,SOSP,Song sparrow,Hickory,Catawba,D,10/30/22
2022-1168,10/28/22,SCCA,Eastern gray squirrel,Statesville,Iredell,T,11/4/22
2022-1169,10/28/22,WITU,Wild turkey,Canton,Haywood,E,11/22/22
2022-1170,10/28/22,BLJA,Blue jay,Elk Mountain,NA,D,10/30/22
2022-1171,10/29/22,MODO,Mourning dove,,NA,R,12/1/22
2022-1172,11/2/22,PIWA,Pine Warbler,Vilas,Watauga,R,11/4/22
2022-1173,11/3/22,???,unknown,,NA,D24,11/3/22
2022-1174,11/3/22,BLCA,Southern short-tailed shrew,Banner Elk,Avery,R,11/17/22
2022-1175,11/4/22,DIVI,Virginia opossum,Asheville,Buncombe,E,12/13/22
2022-1176,11/5/22,MAMO,Groundhog,Creston,Ashe,D24,11/6/22
2022-1177,11/6/22,GLVO,Southern flying squirrel,Boone,Watauga,D24,11/7/22
2022-1178,11/6/22,SCCA,Eastern gray squirrel,Banner Elk,Avery,D,11/8/22
2022-1179,11/7/22,EASO,Eastern screech owl,Rutherfordton,Rutherford,E,11/22/22
2022-1180,11/7/22,TUTI,Tufted titmouse,Newland,Avery,R,12/12/22
2022-1181,11/7/22,HAWO,Hairy woodpecker,Sugar Grove,Watauga,D24,11/8/22
2022-1182,11/8/22,RSHA,Red-shouldered hawk,Marion,McDowell,E,12/17/22
2022-1183,11/8/22,EABL,Eastern bluebird,Asheville,Buncombe,R,12/16/22
2022-1184,11/9/22,PELE,White-footed mouse,Boone,Watauga,R,11/16/22
2022-1185,11/9/22,PELE,White-footed mouse,Boone,Watauga,R,11/16/22
2022-1186,11/14/22,NOCA,Northern cardinal,Banner Elk,Avery,R,11/29/22
2022-1187,11/16/22,BDOW,Barred owl,Butler,NA,R,2/7/23
2022-1188,11/17/22,MODO,Mourning dove,Granite Falls,NA,R,12/1/22
2022-1189,11/17/22,LATR,Eastern milk Snake,Elk Park,Avery,R,11/26/22
2022-1190,11/18/22,DEJU,Dark Eyed Junco,Jonas Ridge,Burke,DOA,11/18/22
2022-1191,11/18/22,EASO,Eastern screech owl,Bakersville,Mitchell,R,3/23/23
2022-1192,11/19/22,NOCA,Northern cardinal,,NA,R,11/29/22
2022-1193,11/19/22,TUTI,Tufted titmouse,Black Mountain,Buncombe,R,12/12/22
2022-1194,11/20/22,BLVU,Black vulture,Hays,NA,Reh,0000-00-00
2022-1195,11/20/22,TUVU,Turkey vulture,Crossnore,Avery,E24,11/21/22
2022-1196,11/23/22,LAGE,Eastern Kingsnake,Lenoir,Caldwell,Reh,0000-00-00
2022-1197,11/30/22,SCCA,Eastern gray squirrel,Jonas Ridge,Burke,DOA,11/30/22
2022-1198,12/1/22,SOSP,Song sparrow,,NA,R,12/4/22
2022-1199,12/1/22,HAWO,Hairy woodpecker,Newland,Avery,R,12/1/22
2022-1200,12/1/22,EASO,Eastern screech owl,,NA,R,12/30/22
2022-1201,12/1/22,EASO,Eastern screech owl,Marion,McDowell,R,1/31/23
2022-1202,12/7/22,BLJA,Blue jay,Banner Elk,Avery,R,12/20/22
2022-1203,12/8/22,EASO,Eastern screech owl,,NA,DOA,12/8/22
2022-1204,12/8/22,EASO,Eastern screech owl,Minneapolis,Avery,E,2/1/23
2022-1205,12/8/22,DOWO,Downy woodpecker,Banner Elk,Avery,D,12/10/22
2022-1206,12/9/22,AMCR,American crow,Beech Mountain,Avery,D24,12/9/22
2022-1207,12/9/22,EASO,Eastern screech owl,Nebo,McDowell,R,12/30/22
2022-1208,12/10/22,BDOW,Barred owl,Newland,Avery,E,1/11/23
2022-1209,12/10/22,CAGO,Canada goose,Wilkesboro,Wilkes,EOA,12/10/22
2022-1210,12/10/22,MODO,Mourning dove,Jonas Ridge,Burke,DOA,12/10/22
2022-1211,12/12/22,SYFL,Eastern cottontail,Vilas,Watauga,E24,12/13/22
2022-1212,12/17/22,MODO,Mourning dove,Asheville,Buncombe,R,3/31/23
2022-1213,12/17/22,EASO,Eastern screech owl,Weaverville,Buncombe,E,3/24/23
2022-1214,12/17/22,EASO,Eastern screech owl,,NA,R,1/31/23
2022-1215,12/17/22,EASO,Eastern screech owl,Burnsville,Yancey,R,1/6/23
2022-1216,12/22/22,LESC,Lesser scaup,Newland,Avery,E,1/2/23
2022-1217,12/26/22,MALL,Mallard,Banner Elk,Avery,R,2/5/23
2022-1218,12/27/22,CAWR,Carolina wren,,NA,R,1/10/23
2022-1219,12/27/22,EATO,Eastern towhee,,NA,R,2/3/23
2022-1220,12/27/22,YBSA,Yellow-bellied sapsucker,,NA,R,2/8/23
2022-1221,12/27/22,EASO,Eastern screech owl,Burnsville,Yancey,R,1/6/23
2022-1222,12/29/22,AMRO,American robin,Morganton,Burke,R,1/9/23
2022-1223,12/31/22,EABL,Eastern bluebird,Taylor,Buncombe,R,2/8/23
2022-1224,12/31/22,EABL,Eastern bluebird,Barnardsville,Buncombe,R,1/24/23